mat|1|1|	Βιβλος γενεσεως Ιησου Χριστου, υιου Δαυιδ υιου Αβρααμ.	biblos geneseōs iēsou christou, uiou dauid uiou abraam.
mat|15|1|	Τοτε προσερχονται τω Ιησου οι απο Ιεροσολυμων γραμματεις και Φαρισαιοι λεγοντες	tote proserchontai tō iēsou oi apo ierosolumōn grammateis kai pharisaioi legontes
mat|15|2|	διατι οι μαθηται σου παραβαινουσι την παραδοσιν των πρεσβυτερων? ου γαρ νιπτονται τας χειρας αυτων οταν αρτον εσθιωσιν.	diati oi mathētai sou parabainousi tēn paradosin tōn presbuterōn? ou gar niptontai tas cheiras autōn otan arton esthiōsin.
mat|15|3|	ο δε αποκριθεις ειπεν αυτοις διατι και υμεις παραβαινετε την εντολην του Θεου δια την παραδοσιν υμων?	o de apokritheis eipen autois diati kai umeis parabainete tēn entolēn tou theou dia tēn paradosin umōn?
mat|15|4|	ο γαρ Θεος ενετειλατο λεγων τιμα τον πατερα και την μητερα και ο κακολογων πατερα η μητερα θανατω τελευτατω.	o gar theos eneteilato legōn tima ton patera kai tēn mētera kai o kakologōn patera ē mētera thanatō teleutatō.
mat|15|5|	υμεις δε λεγετε ος αν ειπη τω πατρι η τη μητρι, δωρον ο εαν εξ εμου ωφεληθης, και ου μη τιμηση τον πατερα αυτου η την μητερα αυτου	umeis de legete os an eipē tō patri ē tē mētri, dōron o ean ex emou ōphelēthēs, kai ou mē timēsē ton patera autou ē tēn mētera autou
mat|15|6|	και ηκυρωσατε την εντολην του Θεου δια την παραδοσιν υμων.	kai ēkurōsate tēn entolēn tou theou dia tēn paradosin umōn.
mat|15|7|	υποκριται! καλως προεφητευσε περι υμων Ησαιας λεγων	upokritai! kalōs proephēteuse peri umōn ēsaias legōn
mat|15|8|	εγγιζει μοι ο λαος ουτος τω στοματι αυτων και τοις χειλεσι με τιμα, η δε καρδια αυτων πορρω απεχει απ εμου	eggizei moi o laos outos tō stomati autōn kai tois cheilesi me tima, ē de kardia autōn porrō apechei ap emou
mat|15|9|	ματην δε σεβονται με, διδασκοντες διδασκαλιας ενταλματα ανθρωπων.	matēn de sebontai me, didaskontes didaskalias entalmata anthrōpōn.
mat|15|10|	Και προσκαλεσαμενος τον οχλον ειπεν αυτοις ακουετε και συνιετε	kai proskalesamenos ton ochlon eipen autois akouete kai suniete
mat|15|11|	ου το εισερχομενον εις το στομα κοινοι τον ανθρωπον, αλλα το εκπορευομενον εκ του στοματος τουτο κοινοι τον ανθρωπον.	ou to eiserchomenon eis to stoma koinoi ton anthrōpon, alla to ekporeuomenon ek tou stomatos touto koinoi ton anthrōpon.
mat|15|12|	τοτε προσελθοντες οι μαθηται αυτου ειπον αυτω οιδας οτι οι Φαρισαιοι εσκανδαλισθησαν ακουσαντες τον λογον?	tote proselthontes oi mathētai autou eipon autō oidas oti oi pharisaioi eskandalisthēsan akousantes ton logon?
mat|15|13|	ο δε αποκριθεις ειπε πασα φυτεια ην ουκ εφυτευσεν ο πατηρ μου ο ουρανιος εκριζωθησεται.	o de apokritheis eipe pasa phuteia ēn ouk ephuteusen o patēr mou o ouranios ekrizōthēsetai.
mat|15|14|	αφετε αυτους οδηγοι εισι τυφλοι τυφλων τυφλος δε τυφλον εαν οδηγη, αμφοτεροι εις βοθυνον πεσουνται.	aphete autous odēgoi eisi tuphloi tuphlōn tuphlos de tuphlon ean odēgē, amphoteroi eis bothunon pesountai.
mat|15|15|	αποκριθεις δε ο Πετρος ειπεν αυτω φρασον ημιν την παραβολην ταυτην.	apokritheis de o petros eipen autō phrason ēmin tēn parabolēn tautēn.
mat|15|16|	ο δε Ιησους ειπεν ακμην και υμεις ασυνετοι εστε?	o de iēsous eipen akmēn kai umeis asunetoi este?
mat|15|17|	ουπω νοειτε οτι παν το εισπορευομενον εις το στομα εις την κοιλιαν χωρει και εις αφεδρωνα εκβαλλεται?	oupō noeite oti pan to eisporeuomenon eis to stoma eis tēn koilian chōrei kai eis aphedrōna ekballetai?
mat|15|18|	τα δε εκπορευομενα εκ του στοματος εκ της καρδιας εξερχεται, κακεινα κοινοι τον ανθρωπον.	ta de ekporeuomena ek tou stomatos ek tēs kardias exerchetai, kakeina koinoi ton anthrōpon.
mat|15|19|	εκ γαρ της καρδιας εξερχονται διαλογισμοι πονηροι, φονοι, μοιχειαι, πορνειαι, κλοπαι, ψευδομαρτυριαι, βλασφημιαι.	ek gar tēs kardias exerchontai dialogismoi ponēroi, phonoi, moicheiai, porneiai, klopai, pseudomarturiai, blasphēmiai.
mat|15|20|	ταυτα εστι τα κοινουντα τον ανθρωπον το δε ανιπτοις χερσι φαγειν ου κοινοι τον ανθρωπον.	tauta esti ta koinounta ton anthrōpon to de aniptois chersi phagein ou koinoi ton anthrōpon.
mat|15|21|	Και εξελθων εκειθεν ο Ιησους ανεχωρησεν εις τα μερη Τυρου και Σιδωνος.	kai exelthōn ekeithen o iēsous anechōrēsen eis ta merē turou kai sidōnos.
mat|15|22|	και ιδου γυνη Χαναναια απο των οριων εκεινων εξελθουσα εκραυγασεν αυτω λεγουσα ελεησον με, Κυριε, υιε Δαυιδ η θυγατηρ μου κακως δαιμονιζεται.	kai idou gunē chananaia apo tōn oriōn ekeinōn exelthousa ekraugasen autō legousa eleēson me, kurie, uie dauid ē thugatēr mou kakōs daimonizetai.
mat|15|23|	ο δε ουκ απεκριθη αυτη λογον. και προσελθοντες οι μαθηται αυτου ηρωτων αυτον λεγοντες απολυσον αυτην, οτι κραζει οπισθεν ημων.	o de ouk apekrithē autē logon. kai proselthontes oi mathētai autou ērōtōn auton legontes apoluson autēn, oti krazei opisthen ēmōn.
mat|15|24|	ο δε αποκριθεις ειπεν ουκ απεσταλην ει μη εις τα προβατα τα απολωλοτα οικου Ισραηλ.	o de apokritheis eipen ouk apestalēn ei mē eis ta probata ta apolōlota oikou israēl.
mat|15|25|	η δε ελθουσα προσεκυνησεν αυτω λεγουσα Κυριε, βοηθει μοι.	ē de elthousa prosekunēsen autō legousa kurie, boēthei moi.
mat|15|26|	ο δε αποκριθεις ειπεν ουκ εστι καλον λαβειν τον αρτον των τεκνων και βαλειν τοις κυναριοις.	o de apokritheis eipen ouk esti kalon labein ton arton tōn teknōn kai balein tois kunariois.
mat|15|27|	η δε ειπε ναι, Κυριε και γαρ τα κυναρια εσθιει απο των ψυχιων των πιπτοντων απο της τραπεζης των κυριων αυτων.	ē de eipe nai, kurie kai gar ta kunaria esthiei apo tōn psuchiōn tōn piptontōn apo tēs trapezēs tōn kuriōn autōn.
mat|15|28|	τοτε αποκριθεις ο Ιησους ειπεν αυτη ω γυναι, μεγαλη σου η πιστις! γενηθητω σοι ως θελεις. και ιαθη η θυγατηρ αυτης απο της ωρας εκεινης.	tote apokritheis o iēsous eipen autē ō gunai, megalē sou ē pistis! genēthētō soi ōs theleis. kai iathē ē thugatēr autēs apo tēs ōras ekeinēs.
mat|15|29|	Και μεταβας εκειθεν ο Ιησους ηλθε παρα την θαλασσαν της Γαλιλαιας, και αναβας εις το ορος εκαθητο εκει.	kai metabas ekeithen o iēsous ēlthe para tēn thalassan tēs galilaias, kai anabas eis to oros ekathēto ekei.
mat|15|30|	και προσηλθον αυτω οχλοι πολλοι εχοντες μεθ εαυτων χωλους, τυφλους, κωφους, κυλλους και ετερους πολλους, και ερριψαν αυτους παρα τους ποδας του Ιησου, και εθεραπευσεν αυτους,	kai prosēlthon autō ochloi polloi echontes meth eautōn chōlous, tuphlous, kōphous, kullous kai eterous pollous, kai erripsan autous para tous podas tou iēsou, kai etherapeusen autous,
mat|15|31|	ωστε τους οχλους θαυμασαι βλεποντας κωφους ακουοντας, αλαλους λαλουντας, κυλλους υγιεις, χωλους περιπατουντας και τυφλους βλεποντας και εδοξασαν τον Θεον Ισραηλ.	ōste tous ochlous thaumasai blepontas kōphous akouontas, alalous lalountas, kullous ugieis, chōlous peripatountas kai tuphlous blepontas kai edoxasan ton theon israēl.
mat|15|32|	Ο δε Ιησους προσκαλεσαμενος τους μαθητας αυτου ειπε σπλαγχνιζομαι επι τον οχλον, οτι ηδη ημεραι τρεις προσμενουσι μοι και ουκ εχουσι τι φαγωσι και απολυσαι αυτους νηστεις ου θελω, μηποτε εκλυθωσιν εν τη οδω.	o de iēsous proskalesamenos tous mathētas autou eipe splagchnizomai epi ton ochlon, oti ēdē ēmerai treis prosmenousi moi kai ouk echousi ti phagōsi kai apolusai autous nēsteis ou thelō, mēpote ekluthōsin en tē odō.
mat|15|33|	και λεγουσιν αυτω οι μαθηται αυτου ποθεν ημιν εν ερημια αρτοι τοσουτοι ωστε χορτασαι οχλον τοσουτον?	kai legousin autō oi mathētai autou pothen ēmin en erēmia artoi tosoutoi ōste chortasai ochlon tosouton?
mat|15|34|	και λεγει αυτοις ο Ιησους ποσους αρτους εχετε? οι δε ειπον επτα, και ολιγα ιχθυδια.	kai legei autois o iēsous posous artous echete? oi de eipon epta, kai oliga ichthudia.
mat|15|35|	και εκελευσε τοις οχλοις αναπεσειν επι την γην.	kai ekeleuse tois ochlois anapesein epi tēn gēn.
mat|15|36|	και λαβων τους επτα αρτους και τους ιχθυας, ευχαριστησας εκλασε και εδωκε τοις μαθηταις αυτου, οι δε μαθηται τοις οχλοις.	kai labōn tous epta artous kai tous ichthuas, eucharistēsas eklase kai edōke tois mathētais autou, oi de mathētai tois ochlois.
mat|15|37|	και εφαγον παντες και εχορτασθησαν, και ηραν το περισσευον των κλασματων επτα σπυριδας πληρεις	kai ephagon pantes kai echortasthēsan, kai ēran to perisseuon tōn klasmatōn epta spuridas plēreis
mat|15|38|	οι δε εσθιοντες ησαν τετρακισχιλιοι ανδρες χωρις γυναικων και παιδιων.	oi de esthiontes ēsan tetrakischilioi andres chōris gunaikōn kai paidiōn.
mat|15|39|	και απολυσας τους οχλους ενεβη εις το πλοιον και ηλθεν εις τα ορια Μαγδαλα.	kai apolusas tous ochlous enebē eis to ploion kai ēlthen eis ta oria magdala.
mat|16|1|	Και προσελθοντες οι Φαρισαιοι και Σαδδουκαιοι πειραζοντες επηρωτησαν αυτον σημειον εκ του ουρανου επιδειξαι αυτοις.	kai proselthontes oi pharisaioi kai saddoukaioi peirazontes epērōtēsan auton sēmeion ek tou ouranou epideixai autois.
mat|16|2|	ο δε αποκριθεις ειπεν αυτοις οψιας γενομενης λεγετε ευδια πυρραζει γαρ ο ουρανος	o de apokritheis eipen autois opsias genomenēs legete eudia purrazei gar o ouranos
mat|16|3|	και πρωι σημερον χειμων πυρραζει γαρ στυγναζων ο ουρανος. υποκριται, το μεν προσωπον του ουρανου γινωσκετε διακρινειν, τα δε σημεια των καιρων ου δυνασθε γνωναι?	kai prōi sēmeron cheimōn purrazei gar stugnazōn o ouranos. upokritai, to men prosōpon tou ouranou ginōskete diakrinein, ta de sēmeia tōn kairōn ou dunasthe gnōnai?
mat|16|4|	γενεα πονηρα και μοιχαλις σημειον επιζητει, και σημειον ου δοθησεται αυτη ει μη το σημειον Ιωνα του προφητου. και καταλιπων αυτους απηλθεν.	genea ponēra kai moichalis sēmeion epizētei, kai sēmeion ou dothēsetai autē ei mē to sēmeion iōna tou prophētou. kai katalipōn autous apēlthen.
mat|16|5|	Και ελθοντες οι μαθηται αυτου εις το περαν επελαθοντο αρτους λαβειν.	kai elthontes oi mathētai autou eis to peran epelathonto artous labein.
mat|16|6|	ο δε Ιησους ειπεν αυτοις ορατε και προσεχετε απο της ζυμης των Φαρισαιων και Σαδδουκαιων.	o de iēsous eipen autois orate kai prosechete apo tēs zumēs tōn pharisaiōn kai saddoukaiōn.
mat|16|7|	οι δε διελογιζοντο εν εαυτοις λεγοντες οτι αρτους ουκ ελαβομεν.	oi de dielogizonto en eautois legontes oti artous ouk elabomen.
mat|16|8|	γνους δε ο Ιησους ειπεν αυτοις τι διαλογιζεσθε εν εαυτοις, ολιγοπιστοι, οτι αρτους ουκ ελαβετε?	gnous de o iēsous eipen autois ti dialogizesthe en eautois, oligopistoi, oti artous ouk elabete?
mat|16|9|	ουπω νοειτε, ουδε μνημονευετε τους πεντε αρτους των πεντακισχιλιων και ποσους κοφινους ελαβετε?	oupō noeite, oude mnēmoneuete tous pente artous tōn pentakischiliōn kai posous kophinous elabete?
mat|16|10|	ουδε τους επτα αρτους των τετρακισχιλιων και ποσας σπυριδας ελαβετε?	oude tous epta artous tōn tetrakischiliōn kai posas spuridas elabete?
mat|16|11|	πως ου νοειτε οτι ου περι αρτου ειπον υμιν προσεχειν απο της ζυμης των Φαρισαιων και Σαδδουκαιων?	pōs ou noeite oti ou peri artou eipon umin prosechein apo tēs zumēs tōn pharisaiōn kai saddoukaiōn?
mat|16|12|	τοτε συνηκαν οτι ουκ ειπε προσεχειν απο της ζυμης του αρτου, αλλ απο της διδαχης των Φαρισαιων και Σαδδουκαιων.	tote sunēkan oti ouk eipe prosechein apo tēs zumēs tou artou, all apo tēs didachēs tōn pharisaiōn kai saddoukaiōn.
mat|16|13|	Ελθων δε ο Ιησους εις τα μερη Καισαρειας της Φιλιππου ηρωτα τους μαθητας αυτου λεγων τινα με λεγουσιν οι ανθρωποι ειναι τον υιον του ανθρωπου?	elthōn de o iēsous eis ta merē kaisareias tēs philippou ērōta tous mathētas autou legōn tina me legousin oi anthrōpoi einai ton uion tou anthrōpou?
mat|16|14|	οι δε ειπον οι μεν Ιωαννην τον βαπτιστην, αλλοι δε Ηλιαν, ετεροι δε Ιερεμιαν η ενα των προφητων.	oi de eipon oi men iōannēn ton baptistēn, alloi de ēlian, eteroi de ieremian ē ena tōn prophētōn.
mat|16|15|	λεγει αυτοις υμεις δε τινα με λεγετε ειναι?	legei autois umeis de tina me legete einai?
mat|16|16|	αποκριθεις δε Σιμων Πετρος ειπε συ ει ο Χριστος ο υιος του Θεου του ζωντος.	apokritheis de simōn petros eipe su ei o christos o uios tou theou tou zōntos.
mat|16|17|	και αποκριθεις ο Ιησους ειπεν αυτω μακαριος ει, Σιμων Βαριωνα, οτι σαρξ και αιμα ουκ απεκαλυψε σοι, αλλ ο πατηρ μου ο εν τοις ουρανοις.	kai apokritheis o iēsous eipen autō makarios ei, simōn bariōna, oti sarx kai aima ouk apekalupse soi, all o patēr mou o en tois ouranois.
mat|16|18|	καγω δε σοι λεγω οτι συ ει Πετρος, και επι ταυτη τη πετρα οικοδομησω μου την εκκλησιαν, και πυλαι αδου ου κατισχυσουσιν αυτης.	kagō de soi legō oti su ei petros, kai epi tautē tē petra oikodomēsō mou tēn ekklēsian, kai pulai adou ou katischusousin autēs.
mat|16|19|	και δωσω σοι τας κλεις της βασιλειας των ουρανων, και ο εαν δησης επι της γης, εσται δεδεμενον εν τοις ουρανοις, και ο εαν λυσης επι της γης, εσται λελυμενον εν τοις ουρανοις.	kai dōsō soi tas kleis tēs basileias tōn ouranōn, kai o ean dēsēs epi tēs gēs, estai dedemenon en tois ouranois, kai o ean lusēs epi tēs gēs, estai lelumenon en tois ouranois.
mat|16|20|	τοτε διεστειλατο τοις μαθηταις αυτου ινα μηδενι ειπωσιν οτι αυτος εστιν Ιησους ο Χριστος.	tote diesteilato tois mathētais autou ina mēdeni eipōsin oti autos estin iēsous o christos.
mat|16|21|	Απο τοτε ηρξατο ο Ιησους δεικνυειν τοις μαθηταις αυτου οτι δει αυτον απελθειν εις Ιεροσολυμα και πολλα παθειν απο των πρεσβυτερων και αρχιερεων και γραμματεων και αποκτανθηναι, και τη τριτη ημερα εγερθηναι.	apo tote ērxato o iēsous deiknuein tois mathētais autou oti dei auton apelthein eis ierosoluma kai polla pathein apo tōn presbuterōn kai archiereōn kai grammateōn kai apoktanthēnai, kai tē tritē ēmera egerthēnai.
mat|16|22|	και προσλαβομενος αυτον ο Πετρος ηρξατο επιτιμαν αυτω λεγων ιλεως σοι, Κυριε ου μη εσται σοι τουτο.	kai proslabomenos auton o petros ērxato epitiman autō legōn ileōs soi, kurie ou mē estai soi touto.
mat|16|23|	ο δε στραφεις ειπε τω Πετρω υπαγε οπισω μου, σατανα σκανδαλον μου ει οτι ου φρονεις τα του Θεου, αλλα τα των ανθρωπων.	o de strapheis eipe tō petrō upage opisō mou, satana skandalon mou ei oti ou phroneis ta tou theou, alla ta tōn anthrōpōn.
mat|16|24|	Τοτε ο Ιησους ειπε τοις μαθηταις αυτου ει τις θελει οπισω μου ελθειν, απαρνησασθω εαυτον και αρατω τον σταυρον αυτου και ακολουθειτω μοι.	tote o iēsous eipe tois mathētais autou ei tis thelei opisō mou elthein, aparnēsasthō eauton kai aratō ton stauron autou kai akoloutheitō moi.
mat|16|25|	ος γαρ αν θελη την ψυχην αυτου σωσαι, απολεσει αυτην ος δ αν απολεση την ψυχην αυτου ενεκεν εμου, ευρησει αυτην.	os gar an thelē tēn psuchēn autou sōsai, apolesei autēn os d an apolesē tēn psuchēn autou eneken emou, eurēsei autēn.
mat|16|26|	τι γαρ ωφελειται ανθρωπος εαν τον κοσμον ολον κερδηση, την δε ψυχην αυτου ζημιωθη? η τι δωσει ανθρωπος ανταλλαγμα της ψυχης αυτου?	ti gar ōpheleitai anthrōpos ean ton kosmon olon kerdēsē, tēn de psuchēn autou zēmiōthē? ē ti dōsei anthrōpos antallagma tēs psuchēs autou?
mat|16|27|	μελλει γαρ ο υιος του ανθρωπου ερχεσθαι εν τη δοξη του πατρος αυτου μετα των αγγελων αυτου, και τοτε αποδωσει εκαστω κατα την πραξιν αυτου.	mellei gar o uios tou anthrōpou erchesthai en tē doxē tou patros autou meta tōn aggelōn autou, kai tote apodōsei ekastō kata tēn praxin autou.
mat|16|28|	αμην λεγω υμιν, εισι τινες των ωδε εστηκοτων, οιτινες ου μη γευσωνται θανατου εως αν ιδωσι τον υιον του ανθρωπου ερχομενον εν τη βασιλεια αυτου.	amēn legō umin, eisi tines tōn ōde estēkotōn, oitines ou mē geusōntai thanatou eōs an idōsi ton uion tou anthrōpou erchomenon en tē basileia autou.
mat|17|1|	Και μεθ ημερας εξ παραλαμβανει ο Ιησους τον Πετρον και Ιακωβον και Ιωαννην τον αδελφον αυτου και αναφερει αυτους εις ορος υψηλον κατ ιδιαν	kai meth ēmeras ex paralambanei o iēsous ton petron kai iakōbon kai iōannēn ton adelphon autou kai anapherei autous eis oros upsēlon kat idian
mat|17|2|	και μετεμορφωθη εμπροσθεν αυτων, και ελαμψε το προσωπον αυτου ως ο ηλιος, τα δε ιματια αυτου εγενετο λευκα ως το φως.	kai metemorphōthē emprosthen autōn, kai elampse to prosōpon autou ōs o ēlios, ta de imatia autou egeneto leuka ōs to phōs.
mat|17|3|	και ιδου ωφθησαν αυτοις Μωσης και Ηλιας μετ αυτου συλλαλουντες.	kai idou ōphthēsan autois mōsēs kai ēlias met autou sullalountes.
mat|17|4|	αποκριθεις δε ο Πετρος ειπε τω Ιησου Κυριε, καλον εστιν ημας ωδε ειναι ει θελεις, ποιησωμεν ωδε τρεις σκηνας, σοι μιαν και Μωσει μιαν και μιαν Ηλια.	apokritheis de o petros eipe tō iēsou kurie, kalon estin ēmas ōde einai ei theleis, poiēsōmen ōde treis skēnas, soi mian kai mōsei mian kai mian ēlia.
mat|17|5|	ετι αυτου λαλουντος ιδου νεφελη φωτεινη επεσκιασεν αυτους, και ιδου φωνη εκ της νεφελης λεγουσα ουτος εστιν ο υιος μου ο αγαπητος, εν ω ευδοκησα αυτου ακουετε	eti autou lalountos idou nephelē phōteinē epeskiasen autous, kai idou phōnē ek tēs nephelēs legousa outos estin o uios mou o agapētos, en ō eudokēsa autou akouete
mat|17|6|	και ακουσαντες οι μαθηται επεσον επι προσωπον αυτων και εφοβηθησαν σφοδρα.	kai akousantes oi mathētai epeson epi prosōpon autōn kai ephobēthēsan sphodra.
mat|17|7|	και προσελθων ο Ιησους ηψατο αυτων και ειπεν εγερθητε και μη φοβεισθε.	kai proselthōn o iēsous ēpsato autōn kai eipen egerthēte kai mē phobeisthe.
mat|17|8|	επαραντες δε τους οφθαλμους αυτων ουδενα ειδον ει μη τον Ιησουν μονον.	eparantes de tous ophthalmous autōn oudena eidon ei mē ton iēsoun monon.
mat|17|9|	και καταβαινοντων αυτων απο του ορους ενετειλατο αυτοις ο Ιησους λεγων μηδενι ειπητε το οραμα εως ου ο υιος του ανθρωπου εκ νεκρων αναστη.	kai katabainontōn autōn apo tou orous eneteilato autois o iēsous legōn mēdeni eipēte to orama eōs ou o uios tou anthrōpou ek nekrōn anastē.
mat|17|10|	Και επηρωτησαν αυτον οι μαθηται αυτου λεγοντες τι ουν οι γραμματεις λεγουσιν οτι Ηλιαν δει ελθειν πρωτον?	kai epērōtēsan auton oi mathētai autou legontes ti oun oi grammateis legousin oti ēlian dei elthein prōton?
mat|17|11|	ο δε Ιησους αποκριθεις ειπεν αυτοις Ηλιας μεν ερχεται πρωτον και αποκαταστησει παντα	o de iēsous apokritheis eipen autois ēlias men erchetai prōton kai apokatastēsei panta
mat|17|12|	λεγω δε υμιν οτι Ηλιας ηδη ηλθε, και ουκ επεγνωσαν αυτον, αλλ εποιησαν εν αυτω οσα ηθελησαν ουτω και ο υιος του ανθρωπου μελλει πασχειν υπ αυτων.	legō de umin oti ēlias ēdē ēlthe, kai ouk epegnōsan auton, all epoiēsan en autō osa ēthelēsan outō kai o uios tou anthrōpou mellei paschein up autōn.
mat|17|13|	τοτε συνηκαν οι μαθηται οτι περι Ιωαννου του βαπτιστου ειπεν αυτοις.	tote sunēkan oi mathētai oti peri iōannou tou baptistou eipen autois.
mat|17|14|	Και ελθοντων αυτων προς τον οχλον προσηλθεν αυτω ανθρωπος γονυπετων αυτον και λεγων	kai elthontōn autōn pros ton ochlon prosēlthen autō anthrōpos gonupetōn auton kai legōn
mat|17|15|	Κυριε, ελεησον μου τον υιον, οτι σεληνιαζεται και κακως πασχει πολλακις γαρ πιπτει εις το πυρ και πολλακις εις το υδωρ.	kurie, eleēson mou ton uion, oti selēniazetai kai kakōs paschei pollakis gar piptei eis to pur kai pollakis eis to udōr.
mat|17|16|	και προσηνεγκα αυτον τοις μαθηταις σου, και ουκ ηδυνηθησαν αυτον θεραπευσαι.	kai prosēnegka auton tois mathētais sou, kai ouk ēdunēthēsan auton therapeusai.
mat|17|17|	αποκριθεις δε ο Ιησους ειπεν ω γενεα απιστος και διεστραμμενη! εως ποτε εσομαι μεθ υμων? εως ποτε ανεξομαι υμων? φερετε μοι αυτον ωδε.	apokritheis de o iēsous eipen ō genea apistos kai diestrammenē! eōs pote esomai meth umōn? eōs pote anexomai umōn? pherete moi auton ōde.
mat|17|18|	και επετιμησεν αυτω ο Ιησους, και εξηλθεν απ αυτου το δαιμονιον και εθεραπευθη ο παις απο της ωρας εκεινης.	kai epetimēsen autō o iēsous, kai exēlthen ap autou to daimonion kai etherapeuthē o pais apo tēs ōras ekeinēs.
mat|17|19|	Τοτε προσελθοντες οι μαθηται τω Ιησου κατ ιδιαν ειπον διατι ημεις ουκ ηδυνηθημεν εκβαλειν αυτο?	tote proselthontes oi mathētai tō iēsou kat idian eipon diati ēmeis ouk ēdunēthēmen ekbalein auto?
mat|17|20|	ο δε Ιησους ειπεν αυτοις δια την απιστιαν υμων. αμην γαρ λεγω υμιν, εαν εχητε πιστιν ως κοκκον σιναπεως, ερειτε τω ορει τουτω, μεταβηθι εντευθεν εκει, και μεταβησεται, και ουδεν αδυνατησει υμιν.	o de iēsous eipen autois dia tēn apistian umōn. amēn gar legō umin, ean echēte pistin ōs kokkon sinapeōs, ereite tō orei toutō, metabēthi enteuthen ekei, kai metabēsetai, kai ouden adunatēsei umin.
mat|17|21|	τουτο δε το γενος ουκ εκπορευεται ει μη εν προσευχη και νηστεια.	touto de to genos ouk ekporeuetai ei mē en proseuchē kai nēsteia.
mat|17|22|	Αναστρεφομενων δε αυτων εις την Γαλιλαιαν ειπεν αυτοις ο Ιησους μελλει ο υιος του ανθρωπου παραδιδοσθαι εις χειρας ανθρωπων	anastrephomenōn de autōn eis tēn galilaian eipen autois o iēsous mellei o uios tou anthrōpou paradidosthai eis cheiras anthrōpōn
mat|17|23|	και αποκτενουσιν αυτον, και τη τριτη ημερα εγερθησεται. και ελυπηθησαν σφοδρα.	kai apoktenousin auton, kai tē tritē ēmera egerthēsetai. kai elupēthēsan sphodra.
mat|17|24|	Ελθοντων δε αυτων εις Καπερναουμ προσηλθον οι τα διδραχμα λαμβανοντες τω Πετρω και ειπον ο διδασκαλος υμων ου τελει τα διδραχμα?	elthontōn de autōn eis kapernaoum prosēlthon oi ta didrachma lambanontes tō petrō kai eipon o didaskalos umōn ou telei ta didrachma?
mat|17|25|	λεγει, ναι. και οτε εισηλθεν εις την οικιαν, προεφθασεν αυτον ο Ιησους λεγων τι σοι δοκει, Σιμων? οι βασιλεις της γης απο τινων λαμβανουσι τελη η κηνσον? απο των υιων αυτων η απο των αλλοτριων?	legei, nai. kai ote eisēlthen eis tēn oikian, proephthasen auton o iēsous legōn ti soi dokei, simōn? oi basileis tēs gēs apo tinōn lambanousi telē ē kēnson? apo tōn uiōn autōn ē apo tōn allotriōn?
mat|17|26|	λεγει αυτω ο Πετρος απο των αλλοτριων. εφη αυτω ο Ιησους αραγε ελευθεροι εισιν οι υιοι.	legei autō o petros apo tōn allotriōn. ephē autō o iēsous arage eleutheroi eisin oi uioi.
mat|17|27|	ινα δε μη σκανδαλισωμεν αυτους, πορευθεις εις την θαλασσαν βαλε αγκιστρον και τον αναβαντα πρωτον ιχθυν αρον, και ανοιξας το στομα αυτου ευρησεις στατηρα εκεινον λαβων δος αυτοις αντι εμου και σου.	ina de mē skandalisōmen autous, poreutheis eis tēn thalassan bale agkistron kai ton anabanta prōton ichthun aron, kai anoixas to stoma autou eurēseis statēra ekeinon labōn dos autois anti emou kai sou.
mat|18|1|	Εν εκεινη τη ωρα προσηλθον οι μαθηται τω Ιησου λεγοντες τις αρα μειζων εστιν εν τη βασιλεια των ουρανων?	en ekeinē tē ōra prosēlthon oi mathētai tō iēsou legontes tis ara meizōn estin en tē basileia tōn ouranōn?
mat|18|2|	και προσκαλεσαμενος ο Ιησους παιδιον εστησεν αυτο εν μεσω αυτων και ειπεν	kai proskalesamenos o iēsous paidion estēsen auto en mesō autōn kai eipen
mat|18|3|	αμην λεγω υμιν, εαν μη στραφητε και γενησθε ως τα παιδια, ου μη εισελθητε εις την βασιλειαν των ουρανων.	amēn legō umin, ean mē straphēte kai genēsthe ōs ta paidia, ou mē eiselthēte eis tēn basileian tōn ouranōn.
mat|18|4|	οστις ουν ταπεινωσει εαυτον ως το παιδιον τουτο, ουτος εστιν ο μειζων εν τη βασιλεια των ουρανων.	ostis oun tapeinōsei eauton ōs to paidion touto, outos estin o meizōn en tē basileia tōn ouranōn.
mat|18|5|	και ος εαν δεξηται παιδιον τοιουτον εν επι τω ονοματι μου, εμε δεχεται	kai os ean dexētai paidion toiouton en epi tō onomati mou, eme dechetai
mat|18|6|	ος δ αν σκανδαλιση ενα των μικρων τουτων των πιστευοντων εις εμε, συμφερει αυτω ινα κρεμασθη μυλος ονικος εις τον τραχηλον αυτου και καταποντισθη εν τω πελαγει της θαλασσης.	os d an skandalisē ena tōn mikrōn toutōn tōn pisteuontōn eis eme, sumpherei autō ina kremasthē mulos onikos eis ton trachēlon autou kai katapontisthē en tō pelagei tēs thalassēs.
mat|18|7|	Ουαι τω κοσμω απο των σκανδαλων αναγκη γαρ εστιν ελθειν τα σκανδαλα πλην ουαι τω ανθρωπω εκεινω δι ου το σκανδαλον ερχεται.	ouai tō kosmō apo tōn skandalōn anagkē gar estin elthein ta skandala plēn ouai tō anthrōpō ekeinō di ou to skandalon erchetai.
