mat|1|1|	Βιβλος γενεσεως Ιησου Χριστου, υιου Δαυιδ υιου Αβρααμ.
mat|23|22|	και ο ομοσας εν τω ουρανω ομνυει εν τω θρονω του Θεου και εν τω καθημενω επανω αυτου.
mat|23|23|	Ουαι υμιν, γραμματεις και Φαρισαιοι υποκριται, οτι αποδεκατουτε το ηδυοσμον και το ανηθον και το κυμινον, και αφηκατε τα βαρυτερα του νομου, την κρισιν και τον ελεον και την πιστιν ταυτα δε εδει ποιησαι κακεινα μη αφιεναι.
mat|23|24|	οδηγοι τυφλοι, οι διυλιζοντες τον κωνωπα, την δε καμηλον καταπινοντες!
mat|23|25|	Ουαι υμιν, γραμματεις και Φαρισαιοι υποκριται, οτι καθαριζετε το εξωθεν του ποτηριου και της παροψιδος, εσωθεν δε γεμουσιν εξ αρπαγης και αδικιας.
mat|23|26|	Φαρισαιε τυφλε, καθαρισον πρωτον το εντος του ποτηριου και της παροψιδος, ινα γενηται και το εκτος αυτων καθαρον.
mat|23|27|	Ουαι υμιν, γραμματεις και Φαρισαιοι υποκριται, οτι παρομοιαζετε ταφοις κεκονιαμενοις, οιτινες εξωθεν μεν φαινονται ωραιοι, εσωθεν δε γεμουσιν οστεων νεκρων και πασης ακαθαρσιας.
mat|23|28|	ουτω και υμεις εξωθεν μεν φαινεσθε τοις ανθρωποις δικαιοι, εσωθεν δε μεστοι εστε υποκρισεως και ανομιας.
mat|23|29|	Ουαι υμιν, γραμματεις και Φαρισαιοι υποκριται, οτι οικοδομειτε τους ταφους των προφητων και κοσμειτε τα μνημεια των δικαιων,
mat|23|30|	και λεγετε ει ημεν εν ταις ημεραις των πατερων ημων, ουκ αν ημεν κοινωνοι αυτων εν τω αιματι των προφητων.
mat|23|31|	ωστε μαρτυρειτε εαυτοις οτι υιοι εστε των φονευσαντων τους προφητας.
mat|23|32|	και υμεις πληρωσατε το μετρον των πατερων υμων.
mat|23|33|	οφεις, γεννηματα εχιδνων! πως φυγητε απο της κρισεως της γεεννης?
mat|23|34|	Δια τουτο ιδου εγω αποστελλω προς υμας προφητας και σοφους και γραμματεις, και εξ αυτων αποκτενειτε και σταυρωσετε, και εξ αυτων μαστιγωσετε εν ταις συναγωγαις υμων και διωξετε απο πολεως εις πολιν,
mat|23|35|	οπως ελθη εφ υμας παν αιμα δικαιον εκχυνομενον επι της γης απο του αιματος Αβελ του δικαιου εως του αιματος Ζαχαριου υιου Βαραχιου, ον εφονευσατε μεταξυ του ναου και του θυσιαστηριου.
mat|23|36|	αμην λεγω υμιν οτι ηξει ταυτα παντα επι την γενεαν ταυτην.
mat|23|37|	Ιερουσαλημ Ιερουσαλημ, η αποκτεννουσα τους προφητας και λιθοβολουσα τους απεσταλμενους προς αυτην! ποσακις ηθελησα επισυναγαγειν τα τεκνα σου ον τροπον επισυναγει ορνις τα νοσσια εαυτης υπο τας πτερυγας, και ουκ ηθελησατε.
mat|23|38|	ιδου αφιεται υμιν ο οικος υμων ερημος.
mat|23|39|	λεγω γαρ υμιν, ου μη με ιδητε απ αρτι εως αν ειπητε, ευλογημενος ο ερχομενος εν ονοματι Κυριου.
mat|24|1|	Και εξελθων ο Ιησους επορευετο απο του ιερου και προσηλθον οι μαθηται αυτου επιδειξαι αυτω τας οικοδομας του ιερου.
mat|24|2|	ο δε Ιησους ειπεν αυτοις ου βλεπετε ταυτα παντα? αμην λεγω υμιν, ου μη αφεθη ωδε λιθος επι λιθον, ος ου καταλυθησεται.
mat|24|3|	καθημενου δε αυτου επι του ορους των ελαιων προσηλθον αυτω οι μαθηται κατ ιδιαν λεγοντες ειπε ημιν ποτε ταυτα εσται, και τι το σημειον της σης παρουσιας και της συντελειας του αιωνος?
mat|24|4|	και αποκριθεις ο Ιησους ειπεν αυτοις βλεπετε μη τις υμας πλανηση.
mat|24|5|	πολλοι γαρ ελευσονται επι τω ονοματι μου λεγοντες, εγω ειμι ο Χριστος, και πολλους πλανησουσι.
mat|24|6|	μελλησετε δε ακουειν πολεμους και ακοας πολεμων ορατε μη θροεισθε δει γαρ παντα γενεσθαι, αλλ ουπω εστι το τελος.
mat|24|7|	εγερθησεται γαρ εθνος επι εθνος και βασιλεια επι βασιλειαν, και εσονται λιμοι και λοιμοι και σεισμοι κατα τοπους
mat|24|8|	παντα δε ταυτα αρχη ωδινων.
mat|24|9|	τοτε παραδωσουσιν υμας εις θλιψιν και αποκτενουσιν υμας, και εσεσθε μισουμενοι υπο παντων των εθνων δια το ονομα μου.
mat|24|10|	και τοτε σκανδαλισθησονται πολλοι και αλληλους παραδωσουσι και μισησουσιν αλληλους.
mat|24|11|	και πολλοι ψευδοπροφηται εγερθησονται και πλανησουσι πολλους,
mat|24|12|	και δια το πληθυνθηναι την ανομιαν ψυγησεται η αγαπη των πολλων.
mat|24|13|	ο δε υπομεινας εις τελος, ουτος σωθησεται.
mat|24|14|	και κηρυχθησεται τουτο το ευαγγελιον της βασιλειας εν ολη τη οικουμενη εις μαρτυριον πασι τοις εθνεσι, και τοτε ηξει το τελος.
mat|24|15|	Οταν ουν ιδητε το βδελυγμα της ερημωσεως το ρηθεν δια Δανιηλ του προφητου εστως εν τοπω αγιω—ο αναγινωσκων νοειτω—
mat|24|16|	τοτε οι εν τη Ιουδαια φευγετωσαν επι τα ορη,
mat|24|17|	ο επι του δωματος μη καταβαινετω αραι τα εκ της οικιας αυτου,
mat|24|18|	και ο εν τω αγρω μη επιστρεψατω οπισω αραι τα ιματια αυτου.
mat|24|19|	ουαι δε ταις εν γαστρι εχουσαις και ταις θηλαζουσαις εν εκειναις ταις ημεραις.
mat|24|20|	προσευχεσθε δε ινα μη γενηται η φυγη υμων χειμωνος μηδε σαββατω.
mat|24|21|	εσται γαρ τοτε θλιψις μεγαλη, οια ου γεγονεν απ αρχης κοσμου εως του νυν ουδ ου μη γενηται.
mat|24|22|	και ει μη εκολοβωθησαν αι ημεραι εκειναι, ουκ αν εσωθη πασα σαρξ δια δε τους εκλεκτους κολοβωθησονται αι ημεραι εκειναι.
mat|24|23|	τοτε εαν τις υμιν ειπη, ιδου ωδε ο Χριστος η ωδε, μη πιστευσητε
mat|24|24|	εγερθησονται γαρ ψευδοχριστοι και ψευδοπροφηται και δωσουσι σημεια μεγαλα και τερατα, ωστε πλανησαι, ει δυνατον, και τους εκλεκτους.
mat|24|25|	ιδου προειρηκα υμιν.
mat|24|26|	εαν ουν ειπωσιν υμιν, ιδου εν τη ερημω εστι, μη εξελθητε, ιδου εν τοις ταμειοις, μη πιστευσητε
mat|24|27|	ωσπερ γαρ η αστραπη εξερχεται απο ανατολων και φαινεται εως δυσμων, ουτως εσται και η παρουσια του υιου του ανθρωπου
mat|24|28|	οπου γαρ εαν η το πτωμα, εκει συναχθησονται οι αετοι.
mat|24|29|	Ευθεως δε μετα την θλιψιν των ημερων εκεινων ο ηλιος σκοτισθησεται και η σεληνη ου δωσει το φεγγος αυτης, και οι αστερες πεσουνται απο του ουρανου, και αι δυναμεις των ουρανων σαλευθησονται.
mat|24|30|	και τοτε φανησεται το σημειον του υιου του ανθρωπου εν τω ουρανω, και τοτε κοψονται πασαι αι φυλαι της γης και οψονται τον υιον του ανθρωπου ερχομενον επι των νεφελων του ουρανου μετα δυναμεως και δοξης πολλης.
mat|24|31|	και αποστελει τους αγγελους αυτου μετα σαλπιγγος φωνης μεγαλης, και επισυναξουσι τους εκλεκτους αυτου εκ των τεσσαρων ανεμων απ ακρων ουρανων εως ακρων αυτων.
mat|24|32|	Απο δε της συκης μαθετε την παραβολην. οταν ηδη ο κλαδος αυτης γενηται απαλος και τα φυλλα εκφυη, γινωσκετε οτι εγγυς το θερος
mat|24|33|	ουτω και υμεις οταν ιδητε ταυτα παντα, γινωσκετε οτι εγγυς εστιν επι θυραις.
mat|24|34|	αμην λεγω υμιν, ου μη παρελθη η γενεα αυτη εως αν παντα ταυτα γενηται.
mat|24|35|	ο ουρανος και η γη παρελευσονται, οι δε λογοι μου ου μη παρελθωσι.
mat|24|36|	Περι δε της ημερας εκεινης και ωρας ουδεις οιδεν, ουδε οι αγγελοι των ουρανων, ει μη ο πατηρ μου μονος.
mat|24|37|	ωσπερ δε αι ημεραι του Νωε, ουτως εσται και η παρουσια του υιου του ανθρωπου.
mat|24|38|	ωσπερ γαρ ησαν εν ταις ημεραις ταις προ του κατακλυσμου τρωγοντες και πινοντες, γαμουντες και εκγαμιζοντες, αχρι ης ημερας εισηλθε Νωε εις την κιβωτον,
mat|24|39|	και ουκ εγνωσαν εως ηλθεν ο κατακλυσμος και ηρεν απαντας, ουτως εσται και η παρουσια του υιου του ανθρωπου.
mat|24|40|	τοτε δυο εσονται εν τω αγρω, ο εις παραλαμβανεται και ο εις αφιεται
mat|24|41|	δυο αληθουσαι εν τω μυλωνι, μια παραλαμβανεται και μια αφιεται.
mat|24|42|	γρηγορειτε ουν, οτι ουκ οιδατε ποια ωρα ο Κυριος υμων ερχεται.
mat|24|43|	Εκεινο δε γινωσκετε οτι ει ηδει ο οικοδεσποτης ποια φυλακη ο κλεπτης ερχεται, εγρηγορησεν αν και ουκ αν ειασε διορυγηναι την οικιαν αυτου.
mat|24|44|	δια τουτο και υμεις γινεσθε ετοιμοι, οτι η ωρα ου δοκειτε ο υιος του ανθρωπου ερχεται.
mat|24|45|	Τις αρα εστιν ο πιστος δουλος και φρονιμος, ον κατεστησεν ο κυριος αυτου επι της θεραπειας αυτου του διδοναι αυτοις την τροφην εν καιρω?
mat|24|46|	μακαριος ο δουλος εκεινος ον ελθων ο κυριος αυτου ευρησει ποιουντα ουτως.
mat|24|47|	αμην λεγω υμιν οτι επι πασι τοις υπαρχουσιν αυτου καταστησει αυτον.
mat|24|48|	εαν δε ειπη ο κακος δουλος εκεινος εν τη καρδια αυτου, χρονιζει ο κυριος μου ελθειν,
mat|24|49|	και αρξηται τυπτειν τους συνδουλους αυτου, εσθιη δε και πινη μετα των μεθυοντων,
mat|24|50|	ηξει ο κυριος του δουλου εκεινου εν ημερα η ου προσδοκα και εν ωρα η ου γινωσκει,
mat|24|51|	και διχοτομησει αυτον, και το μερος αυτου μετα των υποκριτων θησει εκει εσται ο κλαυθμος και ο βρυγμος των οδοντων.
mat|25|1|	Τοτε ομοιωθησεται η βασιλεια των ουρανων δεκα παρθενοις, αιτινες λαβουσαι τας λαμπαδας αυτων εξηλθον εις απαντησιν του νυμφιου.
mat|25|2|	πεντε δε ησαν εξ αυτων φρονιμοι και αι πεντε μωραι.
mat|25|3|	αιτινες μωραι λαβουσαι τας λαμπαδας εαυτων ουκ ελαβον μεθ εαυτων ελαιον
mat|25|4|	αι δε φρονιμοι ελαβον ελαιον εν τοις αγγειοις αυτων μετα των λαμπαδων αυτων.
mat|25|5|	χρονιζοντος δε του νυμφιου ενυσταξαν πασαι και εκαθευδον.
mat|25|6|	μεσης δε νυκτος κραυγη γεγονεν ιδου ο νυμφιος ερχεται, εξερχεσθε εις απαντησιν αυτου.
mat|25|7|	τοτε ηγερθησαν πασαι αι παρθενοι εκειναι και εκοσμησαν τας λαμπαδας αυτων.
mat|25|8|	αι δε μωραι ταις φρονιμοις ειπον δοτε ημιν εκ του ελαιου υμων, οτι αι λαμπαδες ημων σβεννυνται.
mat|25|9|	απεκριθησαν δε αι φρονιμοι λεγουσαι μηποτε ουκ αρκεση ημιν και υμιν πορευεσθε δε μαλλον προς τους πωλουντας και αγορασατε εαυταις.
mat|25|10|	απερχομενων δε αυτων αγορασαι ηλθεν ο νυμφιος και αι ετοιμοι εισηλθον μετ αυτου εις τους γαμους, και εκλεισθη η θυρα.
mat|25|11|	υστερον δε ερχονται και αι λοιπαι παρθενοι λεγουσαι κυριε κυριε, ανοιξον ημιν.
mat|25|12|	ο δε αποκριθεις ειπεν αμην λεγω υμιν, ουκ οιδα υμας.
mat|25|13|	γρηγορειτε ουν, οτι ουκ οιδατε την ημεραν ουδε την ωραν εν η ο υιος του ανθρωπου ερχεται.
mat|25|14|	Ωσπερ γαρ ανθρωπος αποδημων εκαλεσε τους ιδιους δουλους και παρεδωκεν αυτοις τα υπαρχοντα αυτου,
mat|25|15|	και ω μεν εδωκε πεντε ταλαντα, ω δε δυο, ω δε εν, εκαστω κατα την ιδιαν δυναμιν, και απεδημησεν ευθεως.
mat|25|16|	πορευθεις δε ο τα πεντε ταλαντα λαβων ειργασατο εν αυτοις και εποιησεν αλλα πεντε ταλαντα.
mat|25|17|	ωσαυτως και ο τα δυο εκερδησε και αυτος αλλα δυο.
mat|25|18|	ο δε το εν λαβων απελθων ωρυξεν εν τη γη και απεκρυψε το αργυριον του κυριου αυτου.
mat|25|19|	μετα δε χρονον πολυν ερχεται ο κυριος των δουλων εκεινων και συναιρει μετ αυτων λογον.
mat|25|20|	και προσελθων ο τα πεντε ταλαντα λαβων προσηνεγκεν αλλα πεντε ταλαντα λεγων κυριε, πεντε ταλαντα μοι παρεδωκας ιδε αλλα πεντε ταλαντα εκερδησα επ αυτοις.
mat|25|21|	εφη αυτω ο κυριος αυτου ευ, δουλε αγαθε και πιστε! επι ολιγα ης πιστος, επι πολλων σε καταστησω εισελθε εις την χαραν του κυριου σου.
mat|25|22|	προσελθων δε και ο τα δυο ταλαντα λαβων ειπε κυριε, δυο ταλαντα μοι παρεδωκας ιδε αλλα δυο ταλαντα εκερδησα επ αυτοις.
mat|25|23|	εφη αυτω ο κυριος αυτου ευ, δουλε αγαθε και πιστε! επι ολιγα ης πιστος, επι πολλων σε καταστησω εισελθε εις την χαραν του κυριου σου.
mat|25|24|	προσελθων δε και ο το εν ταλαντον ειληφως ειπε κυριε εγνων σε οτι σκληρος ει ανθρωπος, θεριζων οπου ουκ εσπειρας και συναγων οθεν ου διεσκορπισας
mat|25|25|	και φοβηθεις απελθων εκρυψα το ταλαντον σου εν τη γη ιδε εχεις το σον.
mat|25|26|	αποκριθεις δε ο κυριος αυτου ειπεν αυτω πονηρε δουλε και οκνηρε! ηδεις οτι θεριζω οπου ουκ εσπειρα και συναγω οθεν ου διεσκορπισα!
mat|25|27|	εδει ουν σε βαλειν το αργυριον μου τοις τραπεζιταις, και ελθων εγω εκομισαμην αν το εμον συν τοκω.
mat|25|28|	αρατε ουν απ αυτου το ταλαντον και δοτε τω εχοντι τα δεκα ταλαντα.
mat|25|29|	τω γαρ εχοντι παντι δοθησεται και περισσευθησεται, απο δε του μη εχοντος και ο εχει αρθησεται απ αυτου.
mat|25|30|	και τον αχρειον δουλον εκβαλετε εις το σκοτος το εξωτερον εκει εσται ο κλαυθμος και ο βρυγμος των οδοντων.
mat|25|31|	Οταν δε ελθη ο υιος του ανθρωπου εν τη δοξη αυτου και παντες οι αγιοι αγγελοι μετ αυτου, τοτε καθισει επι θρονου δοξης αυτου,
mat|25|32|	και συναχθησεται εμπροσθεν αυτου παντα τα εθνη, και αφοριει αυτους απ αλληλων ωσπερ ο ποιμην αφοριζει τα προβατα απο των εριφων,
mat|25|33|	και στησει τα μεν προβατα εκ δεξιων αυτου, τα δε εριφια εξ ευωνυμων.
mat|25|34|	τοτε ερει ο βασιλευς τοις εκ δεξιων αυτου δευτε οι ευλογημενοι του πατρος μου, κληρονομησατε την ητοιμασμενην υμιν βασιλειαν απο καταβολης κοσμου.
mat|25|35|	επεινασα γαρ, και εδωκατε μοι φαγειν, εδιψησα, και εποτισατε με, ξενος ημην, και συνηγαγετε με,
mat|25|36|	γυμνος, και περιεβαλετε με, ησθενησα, και επεσκεψασθε με, εν φυλακη ημην, και ηλθετε προς με.
mat|25|37|	τοτε αποκριθησονται αυτω οι δικαιοι λεγοντες κυριε, ποτε σε ειδομεν πεινωντα και εθρεψαμεν, η διψωντα και εποτισαμεν?
mat|25|38|	ποτε δε σε ειδομεν ξενον και συνηγαγομεν, η γυμνον και περιεβαλομεν?
mat|25|39|	ποτε δε σε ειδομεν ασθενη η εν φυλακη, και ηλθομεν προς σε?
mat|25|40|	και αποκριθεις ο βασιλευς ερει αυτοις αμην λεγω υμιν, εφ οσον εποιησατε ενι τουτων των αδελφων μου των ελαχιστων, εμοι εποιησατε.
mat|25|41|	τοτε ερει και τοις εξ ευωνυμων πορευεσθε απ εμου οι κατηραμενοι εις το πυρ το αιωνιον το ητοιμασμενον τω διαβολω και τοις αγγελοις αυτου.
mat|25|42|	επεινασα γαρ, και ουκ εδωκατε μοι φαγειν, εδιψησα, και ουκ εποτισατε με,
mat|25|43|	ξενος ημην, και ου συνηγαγετε με, γυμνος, και ου περιεβαλετε με, ασθενης και εν φυλακη, και ουκ επεσκεψασθε με.
mat|25|44|	τοτε αποκριθησονται αυτω και αυτοι λεγοντες κυριε, ποτε σε ειδομεν πεινωντα η διψωντα η ξενον η γυμνον η ασθενη η εν φυλακη, και ου διηκονησαμεν σοι?
mat|25|45|	τοτε αποκριθησεται αυτοις λεγων αμην λεγω υμιν, εφ οσον ουκ εποιησατε ενι τουτων των ελαχιστων, ουδε εμοι εποιησατε.
mat|25|46|	και απελευσονται ουτοι εις κολασιν αιωνιον, οι δε δικαιοι εις ζωην αιωνιον.
mat|26|1|	Και εγενετο οτε ετελεσεν ο Ιησους παντας τους λογους τουτους ειπε τοις μαθηταις αυτου
mat|26|2|	οιδατε οτι μετα δυο ημερας το πασχα γινεται, και ο υιος του ανθρωπου παραδιδοται εις το σταυρωθηναι.
mat|26|3|	τοτε συνηχθησαν οι αρχιερεις και οι γραμματεις και οι πρεσβυτεροι του λαου εις την αυλην του αρχιερεως του λεγομενου Καιαφα,
mat|26|4|	και συνεβουλευσαντο ινα τον Ιησουν δολω κρατησωσι και αποκτεινωσιν.
mat|26|5|	ελεγον δε μη εν τη εορτη, ινα μη θορυβος γενηται εν τω λαω.
mat|26|6|	Του δε Ιησου γενομενου εν Βηθανια εν οικια Σιμωνος του λεπρου,
mat|26|7|	προσηλθεν αυτω γυνη αλαβαστρον μυρου εχουσα βαρυτιμου, και κατεχεεν επι την κεφαλην αυτου ανακειμενου.
mat|26|8|	ιδοντες δε οι μαθηται αυτου ηγανακτησαν λεγοντες εις τι η απωλεια αυτη?
mat|26|9|	ηδυνατο γαρ τουτο το μυρον πραθηναι πολλου και δοθηναι τοις πτωχοις.
mat|26|10|	γνους δε ο Ιησους ειπεν αυτοις τι κοπους παρεχετε τη γυναικι? εργον γαρ καλον ειργασατο εις εμε.
mat|26|11|	τους πτωχους γαρ παντοτε εχετε μεθ εαυτων, εμε δε ου παντοτε εχετε.
mat|26|12|	βαλουσα γαρ αυτη το μυρον τουτο επι του σωματος μου, προς το ενταφιασαι με εποιησεν.
mat|26|13|	αμην λεγω υμιν, οπου εαν κηρυχθη το ευαγγελιον τουτο εν ολω τω κοσμω, λαληθησεται και ο εποιησεν αυτη εις μνημοσυνον αυτης.
mat|26|14|	Τοτε πορευθεις εις των δωδεκα, ο λεγομενος Ιουδας Ισκαριωτης, προς τους αρχιερεις ειπε
mat|26|15|	τι θελετε μοι δουναι, και εγω υμιν παραδωσω αυτον? οι δε εστησαν αυτω τριακοντα αργυρια.
mat|26|16|	και απο τοτε εζητει ευκαιριαν ινα αυτον παραδω.
mat|26|17|	Τη δε πρωτη των αζυμων προσηλθον οι μαθηται τω Ιησου λεγοντες αυτω που θελεις ετοιμασωμεν σοι φαγειν το πασχα?
mat|26|18|	ο δε ειπεν υπαγετε εις την πολιν προς τον δεινα και ειπατε αυτω ο διδασκαλος λεγει, ο καιρος μου εγγυς εστι προς σε ποιω το πασχα μετα των μαθητων μου.
mat|26|19|	και εποιησαν οι μαθηται ως συνεταξεν αυτοις ο Ιησους, και ητοιμασαν το πασχα.
mat|26|20|	Οψιας δε γενομενης ανεκειτο μετα των δωδεκα.
mat|26|21|	και εσθιοντων αυτων ειπεν αμην λεγω υμιν οτι εις εξ υμων παραδωσει με.
mat|26|22|	και λυπουμενοι σφοδρα ηρξαντο λεγειν αυτω εκαστος αυτων μητι εγω ειμι, Κυριε?
mat|26|23|	ο δε αποκριθεις ειπεν ο εμβαψας μετ εμου εν τω τρυβλιω την χειρα, ουτος με παραδωσει.
mat|26|24|	ο μεν υιος του ανθρωπου υπαγει καθως γεγραπται περι αυτου ουαι δε τω ανθρωπω εκεινω δι ου ο υιος του ανθρωπου παραδιδοται καλον ην αυτω ει ουκ εγεννηθη ο ανθρωπος εκεινος.
mat|26|25|	αποκριθεις δε Ιουδας ο παραδιδους αυτον ειπε μητι εγω ειμι, ραββι? λεγει αυτω, συ ειπας.
mat|26|26|	Εσθιοντων δε αυτων λαβων ο Ιησους τον αρτον και ευχαριστησας εκλασε και εδιδου τοις μαθηταις και ειπε λαβετε φαγετε τουτο εστι το σωμα μου
mat|26|27|	και λαβων το ποτηριον και ευχαριστησας εδωκεν αυτοις λεγων πιετε εξ αυτου παντες
mat|26|28|	τουτο γαρ εστι το αιμα μου το της καινης διαθηκης το περι πολλων εκχυνομενον εις αφεσιν αμαρτιων.
mat|26|29|	λεγω δε υμιν οτι ου μη πιω απ αρτι εκ τουτου του γενηματος της αμπελου εως της ημερας εκεινης οταν αυτο πινω μεθ υμων καινον εν τη βασιλεια του πατρος μου.
mat|26|30|	Και υμνησαντες εξηλθον εις το ορος των ελαιων. Τοτε λεγει αυτοις ο Ιησους
mat|26|31|	παντες υμεις σκανδαλισθησεσθε εν εμοι εν τη νυκτι ταυτη γεγραπται γαρ, παταξω τον ποιμενα, και διασκορπισθησονται τα προβατα της ποιμνης
mat|26|32|	μετα δε το εγερθηναι με προαξω υμας εις την Γαλιλαιαν.
mat|26|33|	αποκριθεις δε ο Πετρος ειπεν αυτω ει παντες σκανδαλισθησονται εν σοι, εγω δε ουδεποτε σκανδαλισθησομαι.
mat|26|34|	εφη αυτω ο Ιησους αμην λεγω σοι οτι εν ταυτη τη νυκτι πριν αλεκτορα φωνησαι τρις απαρνηση με.
mat|26|35|	λεγει αυτω ο Πετρος καν δεη με συν σοι αποθανειν, ου μη σε απαρνησομαι. ομοιως δε και παντες οι μαθηται ειπον.
mat|26|36|	Τοτε ερχεται μετ αυτων ο Ιησους εις χωριον λεγομενον Γεθσημανη, και λεγει τοις μαθηταις καθισατε αυτου εως ου απελθων προσευξωμαι εκει.
mat|26|37|	και παραλαβων τον Πετρον και τους δυο υιους Ζεβεδαιου ηρξατο λυπεισθαι και αδημονειν.
mat|26|38|	τοτε λεγει αυτοις ο Ιησους περιλυπος εστιν η ψυχη μου εως θανατου μεινατε ωδε και γρηγορειτε μετ εμου.
mat|26|39|	και προελθων μικρον επεσεν επι προσωπον αυτου προσευχομενος και λεγων πατερ μου, ει δυνατον εστι, παρελθετω απ εμου το ποτηριον τουτο πλην ουχ ως εγω θελω, αλλ ως συ.
mat|26|40|	και ερχεται προς τους μαθητας και ευρισκει αυτους καθευδοντας, και λεγει τω Πετρω ουτως ουκ ισχυσατε μιαν ωραν γρηγορησαι μετ εμου!
mat|26|41|	γρηγορειτε και προσευχεσθε, ινα μη εισελθητε εις πειρασμον το μεν πνευμα προθυμον, η δε σαρξ ασθενης.
mat|26|42|	παλιν εκ δευτερου απελθων προσηυξατο λεγων πατερ μου, ει ου δυναται τουτο το ποτηριον παρελθειν απ εμου εαν μη αυτο πιω, γενηθητω το θελημα σου.
mat|26|43|	και ελθων ευρισκει αυτους παλιν καθευδοντας ησαν γαρ αυτων οι οφθαλμοι βεβαρημενοι.
mat|26|44|	και αφεις αυτους απελθων παλιν προσηυξατο εκ τριτου τον αυτον λογον ειπων
mat|26|45|	τοτε ερχεται προς τους μαθητας αυτου και λεγει αυτοις καθευδετε το λοιπον και αναπαυεσθε! ιδου ηγγικεν η ωρα και ο υιος του ανθρωπου παραδιδοται εις χειρας αμαρτωλων.
mat|26|46|	εγειρεσθε αγωμεν ιδου ηγγικεν ο παραδιδους με.
mat|26|47|	Και ετι αυτου λαλουντος ιδου Ιουδας εις των δωδεκα ηλθε, και μετ αυτου οχλος πολυς μετα μαχαιρων και ξυλων απο των αρχιερεων και πρεσβυτερων του λαου.
mat|26|48|	ο δε παραδιδους αυτον εδωκεν αυτοις σημειον λεγων ον αν φιλησω, αυτος εστι κρατησατε αυτον.
mat|26|49|	και ευθεως προσελθων τω Ιησου ειπε χαιρε, ραββι, και κατεφιλησεν αυτον.
mat|26|50|	ο δε Ιησους ειπεν αυτω εταιρε, εφ ω παρει. τοτε προσελθοντες επεβαλον τας χειρας επι τον Ιησουν και εκρατησαν αυτον.
mat|26|51|	και ιδου εις των μετα Ιησου εκτεινας την χειρα απεσπασε την μαχαιραν αυτου, και παταξας τον δουλον του αρχιερεως αφειλεν αυτου το ωτιον.
mat|26|52|	τοτε λεγει αυτω ο Ιησους αποστρεψον σου την μαχαιραν εις τον τοπον αυτης παντες γαρ οι λαβοντες μαχαιραν εν μαχαιρα αποθανουνται.
mat|26|53|	η δοκεις οτι ου δυναμαι αρτι παρακαλεσαι τον πατερα μου, και παραστησει μοι πλειους η δωδεκα λεγεωνας αγγελων?
mat|26|54|	πως ουν πληρωθωσιν αι γραφαι οτι ουτω δει γενεσθαι?
mat|26|55|	Εν εκεινη τη ωρα ειπεν ο Ιησους τοις οχλοις ως επι ληστην εξηλθετε μετα μαχαιρων και ξυλων συλλαβειν με καθ ημεραν προς υμας εκαθεζομην διδασκων εν τω ιερω, και ουκ εκρατησατε με.
mat|26|56|	τουτο δε ολον γεγονεν ινα πληρωθωσιν αι γραφαι των προφητων. Τοτε οι μαθηται παντες αφεντες αυτον εφυγον.
mat|26|57|	Οι δε κρατησαντες τον Ιησουν απηγαγον προς Καιαφαν τον αρχιερεα, οπου οι γραμματεις και οι πρεσβυτεροι συνηχθησαν.
mat|26|58|	ο δε Πετρος ηκολουθει αυτω απο μακροθεν εως της αυλης του αρχιερεως, και εισελθων εσω εκαθητο μετα των υπηρετων ιδειν το τελος.
mat|26|59|	Οι δε αρχιερεις και οι πρεσβυτεροι και το συνεδριον ολον εζητουν ψευδομαρτυριαν κατα του Ιησου οπως θανατωσωσιν αυτον,
mat|26|60|	και ουχ ευρον και πολλων ψευδομαρτυρων προσελθοντων, ουχ ευρον. υστερον δε προσελθοντες δυο ψευδομαρτυρες
mat|26|61|	ειπον ουτος εφη, δυναμαι καταλυσαι τον ναον του Θεου και δια τριων ημερων οικοδομησαι αυτον.
mat|26|62|	και αναστας ο αρχιερευς ειπεν αυτω ουδεν αποκρινη? τι ουτοι σου καταμαρτυρουσιν?
mat|26|63|	ο δε Ιησους εσιωπα. και αποκριθεις ο αρχιερευς ειπεν αυτω εξορκιζω σε κατα του Θεου του ζωντος ινα ημιν ειπης ει συ ει ο Χριστος ο υιος του Θεου.
mat|26|64|	λεγει αυτω ο Ιησους συ ειπας πλην λεγω υμιν, απ αρτι οψεσθε τον υιον του ανθρωπου καθημενον εκ δεξιων της δυναμεως και ερχομενον επι των νεφελων του ουρανου.
mat|26|65|	τοτε ο αρχιερευς διερρηξε τα ιματια αυτου λεγων οτι εβλασφημησε τι ετι χρειαν εχομεν μαρτυρων? ιδε νυν ηκουσατε την βλασφημιαν αυτου
mat|26|66|	τι υμιν δοκει? οι δε αποκριθεντες ειπον ενοχος θανατου εστι.
mat|26|67|	τοτε ενεπτυσαν εις το προσωπον αυτου και εκολαφισαν αυτον, οι δε ερραπισαν
mat|26|68|	λεγοντες προφητευσον ημιν, Χριστε, τις εστιν ο παισας σε?
mat|26|69|	Ο δε Πετρος εξω εκαθητο εν τη αυλη και προσηλθεν αυτω μια παιδισκη λεγουσα και συ ησθα μετα Ιησου του Γαλιλαιου.
mat|26|70|	ο δε ηρνησατο εμπροσθεν αυτων παντων λεγων ουκ οιδα τι λεγεις.
mat|26|71|	εξελθοντα δε αυτον εις τον πυλωνα ειδεν αυτον αλλη και λεγει αυτοις εκει και ουτος ην μετα Ιησου του Ναζωραιου.
