mat|1|1|	biblos geneseōs iēsou christou, uiou dauid uiou abraam.
mat|16|17|	kai apokritheis o iēsous eipen autō makarios ei, simōn bariōna, oti sarx kai aima ouk apekalupse soi, all o patēr mou o en tois ouranois.
mat|16|18|	kagō de soi legō oti su ei petros, kai epi tautē tē petra oikodomēsō mou tēn ekklēsian, kai pulai adou ou katischusousin autēs.
mat|16|19|	kai dōsō soi tas kleis tēs basileias tōn ouranōn, kai o ean dēsēs epi tēs gēs, estai dedemenon en tois ouranois, kai o ean lusēs epi tēs gēs, estai lelumenon en tois ouranois.
mat|16|20|	tote diesteilato tois mathētais autou ina mēdeni eipōsin oti autos estin iēsous o christos.
mat|16|21|	apo tote ērxato o iēsous deiknuein tois mathētais autou oti dei auton apelthein eis ierosoluma kai polla pathein apo tōn presbuterōn kai archiereōn kai grammateōn kai apoktanthēnai, kai tē tritē ēmera egerthēnai.
mat|16|22|	kai proslabomenos auton o petros ērxato epitiman autō legōn ileōs soi, kurie ou mē estai soi touto.
mat|16|23|	o de strapheis eipe tō petrō upage opisō mou, satana skandalon mou ei oti ou phroneis ta tou theou, alla ta tōn anthrōpōn.
mat|16|24|	tote o iēsous eipe tois mathētais autou ei tis thelei opisō mou elthein, aparnēsasthō eauton kai aratō ton stauron autou kai akoloutheitō moi.
mat|16|25|	os gar an thelē tēn psuchēn autou sōsai, apolesei autēn os d an apolesē tēn psuchēn autou eneken emou, eurēsei autēn.
mat|16|26|	ti gar ōpheleitai anthrōpos ean ton kosmon olon kerdēsē, tēn de psuchēn autou zēmiōthē? ē ti dōsei anthrōpos antallagma tēs psuchēs autou?
mat|16|27|	mellei gar o uios tou anthrōpou erchesthai en tē doxē tou patros autou meta tōn aggelōn autou, kai tote apodōsei ekastō kata tēn praxin autou.
mat|16|28|	amēn legō umin, eisi tines tōn ōde estēkotōn, oitines ou mē geusōntai thanatou eōs an idōsi ton uion tou anthrōpou erchomenon en tē basileia autou.
mat|17|1|	kai meth ēmeras ex paralambanei o iēsous ton petron kai iakōbon kai iōannēn ton adelphon autou kai anapherei autous eis oros upsēlon kat idian
mat|17|2|	kai metemorphōthē emprosthen autōn, kai elampse to prosōpon autou ōs o ēlios, ta de imatia autou egeneto leuka ōs to phōs.
mat|17|3|	kai idou ōphthēsan autois mōsēs kai ēlias met autou sullalountes.
mat|17|4|	apokritheis de o petros eipe tō iēsou kurie, kalon estin ēmas ōde einai ei theleis, poiēsōmen ōde treis skēnas, soi mian kai mōsei mian kai mian ēlia.
mat|17|5|	eti autou lalountos idou nephelē phōteinē epeskiasen autous, kai idou phōnē ek tēs nephelēs legousa outos estin o uios mou o agapētos, en ō eudokēsa autou akouete
mat|17|6|	kai akousantes oi mathētai epeson epi prosōpon autōn kai ephobēthēsan sphodra.
mat|17|7|	kai proselthōn o iēsous ēpsato autōn kai eipen egerthēte kai mē phobeisthe.
mat|17|8|	eparantes de tous ophthalmous autōn oudena eidon ei mē ton iēsoun monon.
mat|17|9|	kai katabainontōn autōn apo tou orous eneteilato autois o iēsous legōn mēdeni eipēte to orama eōs ou o uios tou anthrōpou ek nekrōn anastē.
mat|17|10|	kai epērōtēsan auton oi mathētai autou legontes ti oun oi grammateis legousin oti ēlian dei elthein prōton?
mat|17|11|	o de iēsous apokritheis eipen autois ēlias men erchetai prōton kai apokatastēsei panta
mat|17|12|	legō de umin oti ēlias ēdē ēlthe, kai ouk epegnōsan auton, all epoiēsan en autō osa ēthelēsan outō kai o uios tou anthrōpou mellei paschein up autōn.
mat|17|13|	tote sunēkan oi mathētai oti peri iōannou tou baptistou eipen autois.
mat|17|14|	kai elthontōn autōn pros ton ochlon prosēlthen autō anthrōpos gonupetōn auton kai legōn
mat|17|15|	kurie, eleēson mou ton uion, oti selēniazetai kai kakōs paschei pollakis gar piptei eis to pur kai pollakis eis to udōr.
mat|17|16|	kai prosēnegka auton tois mathētais sou, kai ouk ēdunēthēsan auton therapeusai.
mat|17|17|	apokritheis de o iēsous eipen ō genea apistos kai diestrammenē! eōs pote esomai meth umōn? eōs pote anexomai umōn? pherete moi auton ōde.
mat|17|18|	kai epetimēsen autō o iēsous, kai exēlthen ap autou to daimonion kai etherapeuthē o pais apo tēs ōras ekeinēs.
mat|17|19|	tote proselthontes oi mathētai tō iēsou kat idian eipon diati ēmeis ouk ēdunēthēmen ekbalein auto?
mat|17|20|	o de iēsous eipen autois dia tēn apistian umōn. amēn gar legō umin, ean echēte pistin ōs kokkon sinapeōs, ereite tō orei toutō, metabēthi enteuthen ekei, kai metabēsetai, kai ouden adunatēsei umin.
mat|17|21|	touto de to genos ouk ekporeuetai ei mē en proseuchē kai nēsteia.
mat|17|22|	anastrephomenōn de autōn eis tēn galilaian eipen autois o iēsous mellei o uios tou anthrōpou paradidosthai eis cheiras anthrōpōn
mat|17|23|	kai apoktenousin auton, kai tē tritē ēmera egerthēsetai. kai elupēthēsan sphodra.
mat|17|24|	elthontōn de autōn eis kapernaoum prosēlthon oi ta didrachma lambanontes tō petrō kai eipon o didaskalos umōn ou telei ta didrachma?
mat|17|25|	legei, nai. kai ote eisēlthen eis tēn oikian, proephthasen auton o iēsous legōn ti soi dokei, simōn? oi basileis tēs gēs apo tinōn lambanousi telē ē kēnson? apo tōn uiōn autōn ē apo tōn allotriōn?
mat|17|26|	legei autō o petros apo tōn allotriōn. ephē autō o iēsous arage eleutheroi eisin oi uioi.
mat|17|27|	ina de mē skandalisōmen autous, poreutheis eis tēn thalassan bale agkistron kai ton anabanta prōton ichthun aron, kai anoixas to stoma autou eurēseis statēra ekeinon labōn dos autois anti emou kai sou.
mat|18|1|	en ekeinē tē ōra prosēlthon oi mathētai tō iēsou legontes tis ara meizōn estin en tē basileia tōn ouranōn?
mat|18|2|	kai proskalesamenos o iēsous paidion estēsen auto en mesō autōn kai eipen
mat|18|3|	amēn legō umin, ean mē straphēte kai genēsthe ōs ta paidia, ou mē eiselthēte eis tēn basileian tōn ouranōn.
mat|18|4|	ostis oun tapeinōsei eauton ōs to paidion touto, outos estin o meizōn en tē basileia tōn ouranōn.
mat|18|5|	kai os ean dexētai paidion toiouton en epi tō onomati mou, eme dechetai
mat|18|6|	os d an skandalisē ena tōn mikrōn toutōn tōn pisteuontōn eis eme, sumpherei autō ina kremasthē mulos onikos eis ton trachēlon autou kai katapontisthē en tō pelagei tēs thalassēs.
mat|18|7|	ouai tō kosmō apo tōn skandalōn anagkē gar estin elthein ta skandala plēn ouai tō anthrōpō ekeinō di ou to skandalon erchetai.
mat|18|8|	ei de ē cheir sou ē o pous sou skandalizei se, ekkopson auta kai bale apo sou kalon soi estin eiselthein eis tēn zōēn chōlon ē kullon, ē duo cheiras ē duo podas echonta blēthēnai eis to pur to aiōnion.
mat|18|9|	kai ei o ophthalmos sou skandalizei se, exele auton kai bale apo sou kalon soi esti monophthalmon eis tēn zōēn eiselthein, ē duo ophthalmous echonta blēthēnai eis tēn geennan tou puros.
mat|18|10|	orate mē kataphronēsēte enos tōn mikrōn toutōn legō gar umin oti oi aggeloi autōn en ouranois dia pantos blepousi to prosōpon tou patros mou tou en ouranois.
mat|18|11|	ēlthe gar o uios tou anthrōpou sōsai to apolōlos.
mat|18|12|	ti umin dokei? ean genētai tini anthrōpō ekaton probata kai planēthē en ex autōn, ouchi apheis ta enenēkonta ennea epi ta orē, poreutheis zētei to planōmenon?
mat|18|13|	kai ean genētai eurein auto, amēn legō umin oti chairei ep autō mallon ē epi tois enenēkonta ennea tois mē peplanēmenois.
mat|18|14|	outōs ouk esti thelēma emprosthen tou patros umōn tou en ouranois ina apolētai eis tōn mikrōn toutōn.
mat|18|15|	ean de amartēsē eis se o adelphos sou, upage kai elegxon auton metaxu sou kai autou monou ean sou akousē, ekerdēsas ton adelphon sou
mat|18|16|	ean de mē akousē, paralabe meta sou eti ena ē duo, ina epi stomatos duo marturōn ē triōn stathē pan rēma.
mat|18|17|	ean de parakousē autōn, eipe tē ekklēsia ean de kai tēs ekklēsias parakousē, estō soi ōsper o ethnikos kai o telōnēs.
mat|18|18|	amēn legō umin, osa ean dēsēte epi tēs gēs, estai dedemena en tō ouranō, kai osa ean lusēte epi tēs gēs, estai lelumena en tō ouranō.
mat|18|19|	palin amēn legō umin oti ean duo umōn sumphōnēsōsin epi tēs gēs peri pantos pragmatos ou ean aitēsōntai, genēsetai autois para tou patros mou tou en ouranois.
mat|18|20|	ou gar eisi duo ē treis sunēgmenoi eis to emon onoma, ekei eimi en mesō autōn.
mat|18|21|	tote proselthōn autō o petros eipe kurie, posakis amartēsei eis eme o adelphos mou kai aphēsō autō? eōs eptakis?
mat|18|22|	legei autō o iēsous ou legō soi eōs eptakis, all eōs ebdomēkontakis epta.
mat|18|23|	dia touto ōmoiōthē ē basileia tōn ouranōn anthrōpō basilei, os ēthelēse sunarai logon meta tōn doulōn autou.
mat|18|24|	arxamenou de autou sunairein prosēnechthē autō eis opheiletēs muriōn talantōn.
mat|18|25|	mē echontos de autou apodounai ekeleusen auton o kurios autou prathēnai kai tēn gunaika autou kai ta tekna kai panta osa eiche, kai apodothēnai.
mat|18|26|	pesōn oun o doulos prosekunei autō legōn kurie, makrothumēson ep emoi kai panta soi apodōsō.
mat|18|27|	splagchnistheis de o kurios tou doulou ekeinou apelusen auton kai to daneion aphēken autō.
mat|18|28|	exelthōn de o doulos ekeinos euren ena tōn sundoulōn autou, os ōpheilen autō ekaton dēnaria, kai kratēsas auton epnige legōn apodos moi ei ti opheileis.
mat|18|29|	pesōn oun o sundoulos autou eis tous podas autou parekalei auton legōn makrothumēson ep emoi kai apodōsō soi.
mat|18|30|	o de ouk ēthelen, alla apelthōn ebalen auton eis phulakēn eōs ou apodō to opheilomenon.
mat|18|31|	idontes de oi sundouloi autou ta genomena elupēthēsan sphodra, kai elthontes diesaphēsan tō kuriō eautōn panta ta genomena.
mat|18|32|	tote proskalesamenos auton o kurios autou legei autō doule ponēre, pasan tēn opheilēn ekeinēn aphēka soi, epei parekalesas me.
mat|18|33|	ouk edei kai se eleēsai ton sundoulon sou, ōs kai egō se ēleēsa?
mat|18|34|	kai orgistheis o kurios autou paredōken auton tois basanistais eōs ou apodō pan to opheilomenon autō.
mat|18|35|	outō kai o patēr mou o epouranios poiēsei umin, ean mē aphēte ekastos tō adelphō autou apo tōn kardiōn umōn ta paraptōmata autōn.
mat|19|1|	kai egeneto ote etelesen o iēsous tous logous toutous metēren apo tēs galilaias kai ēlthen eis ta oria tēs ioudaias peran tou iordanou.
mat|19|2|	kai ēkolouthēsan autō ochloi polloi, kai etherapeusen autous ekei.
mat|19|3|	kai prosēlthon autō oi pharisaioi peirazontes auton kai legontes autō ei exestin anthrōpō apolusai tēn gunaika autou kata pasan aitian?
mat|19|4|	o de apokritheis eipen autois ouk anegnōte oti o poiēsas ap archēs arsen kai thēlu epoiēsen autous kai eipen,
mat|19|5|	eneken toutou kataleipsei anthrōpos ton patera autou kai tēn mētera kai kollēthēsetai tē gunaiki autou, kai esontai oi duo eis sarka mian?
mat|19|6|	ōste ouketi eisi duo, alla sarx mia. o oun o theos sunezeuxen, anthrōpos mē chōrizetō.
mat|19|7|	legousin autō ti oun mōsēs eneteilato dounai biblion apostasiou kai apolusai autēn?
mat|19|8|	legei autois oti mōsēs pros tēn sklērokardian umōn epetrepsen umin apolusai tas gunaikas umōn ap archēs de ou gegonen outō.
mat|19|9|	legō de umin oti os an apolusē tēn gunaika autou mē epi porneia kai gamēsē allēn, moichatai kai o apolelumenēn gamēsas moichatai.
mat|19|10|	legousin autō oi mathētai autou ei outōs estin ē aitia tou anthrōpou meta tēs gunaikos, ou sumpherei gamēsai.
mat|19|11|	o de eipen autois ou pantes chōrousi ton logon touton, all ois dedotai
mat|19|12|	eisi gar eunouchoi oitines ek koilias mētros egennēthēsan outō. kai eisin eunouchoi oitines eunouchisthēsan upo tōn anthrōpōn, kai eisin eunouchoi oitines eunouchisan eautous dia tēn basileian tōn ouranōn. o dunamenos chōrein chōreitō.
mat|19|13|	tote prosēnechthē autō paidia, ina epithē autois tas cheiras kai proseuxētai oi de mathētai epetimēsan autois.
mat|19|14|	o de iēsous eipen aphete ta paidia kai mē kōluete auta elthein pros me tōn gar toioutōn estin ē basileia tōn ouranōn.
mat|19|15|	kai epitheis tas cheiras autois eporeuthē ekeithen.
mat|19|16|	kai idou eis proselthōn eipen autō didaskale agathe, ti agathon poiēsō ina echō zōēn aiōnion?
mat|19|17|	o de eipen autō ti me legeis agathon? oudeis agathos ei mē eis o theos. ei de theleis eiselthein eis tēn zōēn, tērēson tas entolas.
mat|19|18|	legei autō poias? o de iēsous eipe to ou phoneuseis, ou moicheuseis, ou klepseis, ou pseudomarturēseis,
mat|19|19|	tima ton patera kai tēn mētera, kai agapēseis ton plēsion sou ōs seauton.
mat|19|20|	legei autō o neaniskos panta tauta ephulaxamēn ek neotētos mou ti eti usterō?
mat|19|21|	ephē autō o iēsous ei theleis teleios einai, upage pōlēson sou ta uparchonta kai dos ptōchois, kai exeis thēsauron en ouranō, kai deuro akolouthei moi.
mat|19|22|	akousas de o neaniskos ton logon apēlthe lupoumenos ēn gar echōn ktēmata polla.
mat|19|23|	o de iēsous eipe tois mathētais autou amēn legō umin oti duskolōs plousios eiseleusetai eis tēn basileian tōn ouranōn.
mat|19|24|	palin de legō umin, eukopōteron esti kamēlon dia trupēmatos raphidos dielthein ē plousion eis tēn basileian tou theou eiselthein.
mat|19|25|	akousantes de oi mathētai autou exeplēssonto sphodra legontes tis ara dunatai sōthēnai?
mat|19|26|	emblepsas de o iēsous eipen autois para anthrōpois touto adunaton esti, para de theō panta dunata esti.
mat|19|27|	tote apokritheis o petros eipen autō idou ēmeis aphēkamen panta kai ēkolouthēsamen soi ti ara estai ēmin?
mat|19|28|	o de iēsous eipen autois amēn legō umin oti umeis oi akolouthēsantes moi, en tē paliggenesia, otan kathisē o uios tou anthrōpou epi thronou doxēs autou, kathisesthe kai umeis epi dōdeka thronous krinontes tas dōdeka phulas tou israēl.
mat|19|29|	kai pas os aphēken oikias ē adelphous ē adelphas ē patera ē mētera ē gunaika ē tekna ē agrous eneken tou onomatos mou, ekatontaplasiona lēpsetai kai zōēn aiōnion klēronomēsei.
mat|19|30|	polloi de esontai prōtoi eschatoi kai eschatoi prōtoi.
mat|20|1|	omoia gar estin ē basileia tōn ouranōn anthrōpō oikodespotē, ostis exēlthen ama prōi misthōsasthai ergatas eis ton ampelōna autou.
mat|20|2|	kai sumphōnēsas meta tōn ergatōn ek dēnariou tēn ēmeran apesteilen autous eis ton ampelōna autou
mat|20|3|	kai exelthōn peri tritēn ōran eiden allous estōtas en tē agora argous,
mat|20|4|	kai ekeinois eipen upagete kai umeis eis ton ampelōna, kai o ean ē dikaion dōsō umin.
mat|20|5|	oi de apēlthon. palin exelthōn peri ektēn kai enatēn ōran epoiēsen ōsautōs.
mat|20|6|	peri de tēn endekatēn ōran exelthōn euren allous estōtas argous, kai legei autois ti ōde estēkate olēn tēn ēmeran argoi?
mat|20|7|	legousin autō oti oudeis ēmas emisthōsato. legei autois upagete kai umeis eis ton ampelōna, kai o ean ē dikaion lēpsesthe.
mat|20|8|	opsias de genomenēs legei o kurios tou ampelōnos tō epitropō autou kaleson tous ergatas kai apodos autois ton misthon, arxamenos apo tōn eschatōn eōs tōn prōtōn.
mat|20|9|	kai elthontes oi peri tēn endekatēn ōran elabon ana dēnarion.
mat|20|10|	elthontes de oi prōtoi enomisan oti pleiona lēpsontai, kai elabon kai autoi ana dēnarion.
mat|20|11|	labontes de egogguzon kata tou oikodespotou
mat|20|12|	legontes oti outoi oi eschatoi mian ōran epoiēsan, kai isous ēmin autous epoiēsas tois bastasasi to baros tēs ēmeras kai ton kausōna.
mat|20|13|	o de apokritheis eipen eni autōn etaire, ouk adikō se ouchi dēnariou sunephōnēsas moi?
mat|20|14|	aron to son kai upage thelō de toutō tō eschatō dounai ōs kai soi
mat|20|15|	ē ouk exesti moi poiēsai o thelō en tois emois? ei o ophthalmos sou ponēros estin oti egō agathos eimi?
mat|20|16|	outōs esontai oi eschatoi prōtoi kai oi prōtoi eschatoi polloi gar eisi klētoi, oligoi de eklektoi.
mat|20|17|	kai anabainōn o iēsous eis ierosoluma parelabe tous dōdeka mathētas kat idian en tē odō kai eipen autois
mat|20|18|	idou anabainomen eis ierosoluma, kai o uios tou anthrōpou paradothēsetai tois archiereusi kai grammateusi kai katakrinousin auton thanatō,
mat|20|19|	kai paradōsousin auton tois ethnesin eis to empaixai kai mastigōsai kai staurōsai, kai tē tritē ēmera anastēsetai.
mat|20|20|	tote prosēlthen autō ē mētēr tōn uiōn zebedaiou meta tōn uiōn autēs proskunousa kai aitousa ti par autou.
mat|20|21|	o de eipen autē ti theleis? legei autō eipe ina kathisōsin outoi oi duo uioi mou eis ek dexiōn sou kai eis ex euōnumōn sou en tē basileia sou.
mat|20|22|	apokritheis de o iēsous eipen ouk oidate ti aiteisthe. dunasthe piein to potērion o egō mellō pinein, ē to baptisma o egō baptizomai baptisthēnai? legousin autō dunametha.
mat|20|23|	kai legei autois to men potērion mou piesthe, kai to baptisma o egō baptizomai baptisthēsesthe to de kathisai ek dexiōn mou kai ex euōnumōn mou ouk estin emon dounai, all ois ētoimastai upo tou patros mou.
mat|20|24|	kai akousantes oi deka ēganaktēsan peri tōn duo adelphōn.
mat|20|25|	o de iēsous proskalesamenos autous eipen oidate oti oi archontes tōn ethnōn katakurieuousin autōn kai oi megaloi katexousiazousin autōn.
mat|20|26|	ouch outōs estai en umin, all os ean thelē en umin megas genesthai, estai umōn diakonos,
mat|20|27|	kai os ean thelē en umin einai prōtos, estai umōn doulos
mat|20|28|	ōsper o uios tou anthrōpou ouk ēlthe diakonēthēnai, alla diakonēsai kai dounai tēn psuchēn autou lutron anti pollōn.
mat|20|29|	kai ekporeuomenōn autōn apo ierichō ēkolouthēsen autō ochlos polus.
mat|20|30|	kai idou duo tuphloi kathēmenoi para tēn odon, akousantes oti iēsous paragei, ekraxan legontes eleēson ēmas, kurie, uios dauid.
mat|20|31|	o de ochlos epetimēsen autois ina siōpēsōsin oi de meizon ekrazon legontes eleēson ēmas, kurie, uios dauid.
mat|20|32|	kai stas o iēsous ephōnēsen autous kai eipe ti thelete poiēsō umin?
mat|20|33|	legousin autō kurie, ina anoichthōsin ēmōn oi ophthalmoi.
mat|20|34|	splagchnistheis de o iēsous ēpsato tōn ophthalmōn autōn, kai eutheōs aneblepsan autōn oi ophthalmoi, kai ēkolouthēsan autō.
mat|21|1|	kai ote ēggisan eis ierosoluma kai ēlthon eis bēthsphagē pros to oros tōn elaiōn, tote o iēsous apesteile duo mathētas
mat|21|2|	legōn autois poreuthēte eis tēn kōmēn tēn apenanti umōn, kai eutheōs eurēsete onon dedemenēn kai pōlon met autēs lusantes agagete moi.
mat|21|3|	kai ean tis umin eipē ti, ereite oti o kurios autōn chreian echei eutheōs de apostellei autous.
mat|21|4|	touto de olon gegonen ina plērōthē to rēthen dia tou prophētou legontos
mat|21|5|	eipate tē thugatri siōn, idou o basileus sou erchetai soi praus kai epibebēkōs epi onon kai pōlon uion upozugiou.
mat|21|6|	poreuthentes de oi mathētai kai poiēsantes kathōs prosetaxen autois o iēsous,
mat|21|7|	ēgagon tēn onon kai ton pōlon, kai epethēkan epanō autōn ta imatia autōn, kai epekathisen epanō autōn.
mat|21|8|	o de pleistos ochlos estrōsan eautōn ta imatia en tē odō, alloi de ekopton kladous apo tōn dendrōn kai estrōnnuon en tē odō.
mat|21|9|	oi de ochloi oi proagontes kai oi akolouthountes ekrazon legontes ōsanna tō uiō dauid eulogēmenos o erchomenos en onomati kuriou ōsanna en tois upsistois.
mat|21|10|	kai eiselthontos autou eis ierosoluma eseisthē pasa ē polis legousa tis estin outos?
mat|21|11|	oi de ochloi elegon outos estin iēsous o prophētēs o apo nazaret tēs galilaias.
mat|21|12|	kai eisēlthen o iēsous eis to ieron tou theou, kai exebale pantas tous pōlountas kai agorazontas en tō ierō, kai tas trapezas tōn kollubistōn katestrepse kai tas kathedras tōn pōlountōn tas peristeras,
mat|21|13|	kai legei autois gegraptai, o oikos mou oikos proseuchēs klēthēsetai umeis de auton epoiēsate spēlaion lēstōn.
mat|21|14|	kai prosēlthon autō chōloi kai tuphloi en tō ierō kai etherapeusen autous.
mat|21|15|	idontes de oi archiereis kai oi grammateis ta thaumasia a epoiēse kai tous paidas krazontas en tō ierō kai legontas, ōsanna tō uiō dauid, ēganaktēsan
mat|21|16|	kai eipon autō akoueis ti outoi legousin? o de iēsous legei autois nai oudepote anegnōte oti ek stomatos nēpiōn kai thēlazontōn katērtisō ainon?
mat|21|17|	kai katalipōn autous exēlthen exō tēs poleōs eis bēthanian kai ēulisthē ekei.
mat|21|18|	prōias de epanagōn eis tēn polin epeinase
mat|21|19|	kai idōn sukēn mian epi tēs odou ēlthen ep autēn, kai ouden euren en autē ei mē phulla monon, kai legei autē mēketi ek sou karpos genētai eis ton aiōna. kai exēranthē parachrēma ē sukē.
mat|21|20|	kai idontes oi mathētai ethaumasan legontes pōs parachrēma exēranthē ē sukē?
mat|21|21|	apokritheis de o iēsous eipen autois amēn legō umin, ean echēte pistin kai mē diakrithēte, ou monon to tēs sukēs poiēsete, alla kan tō orei toutō eipēte, arthēti kai blēthēti eis tēn thalassan, genēsetai
mat|21|22|	kai panta osa ean aitēsēte en tē proseuchē pisteuontes, lēpsesthe.
mat|21|23|	kai elthonti autō eis to ieron prosēlthon autō didaskonti oi archiereis kai oi presbuteroi tou laou legontes en poia exousia tauta poieis, kai tis soi edōke tēn exousian tautēn?
mat|21|24|	apokritheis de o iēsous eipen autois erōtēsō umas kagō logon ena, on ean eipēte moi, kagō umin erō en poia exousia tauta poiō.
mat|21|25|	to baptisma iōannou pothen ēn, ex ouranou ē ex anthrōpōn? oi de dielogizonto par eautois legontes ean eipōmen, ex ouranou, erei ēmin, diati oun ouk episteusate autō
mat|21|26|	ean de eipōmen, ex anthrōpōn, phoboumetha ton ochlon pantes gar echousi ton iōannēn ōs prophētēn.
mat|21|27|	kai apokrithentes tō iēsou eipon ouk oidamen. ephē autois kai autos oude egō legō umin en poia exousia tauta poiō.
mat|21|28|	ti de umin dokei? anthrōpos tis eiche tekna duo, kai proselthōn tō prōtō eipe teknon, upage sēmeron ergazou en tō ampelōni mou.
mat|21|29|	o de apokritheis eipen ou thelō usteron de metamelētheis apēlthe.
mat|21|30|	kai proselthōn tō deuterō eipen ōsautōs. o de apokritheis eipen egō, kurie kai ouk apēlthe.
mat|21|31|	tis ek tōn duo epoiēse to thelēma tou patros? legousin autō o prōtos. legei autois o iēsous amēn legō umin oti oi telōnai kai ai pornai proagousin umas eis tēn basileian tou theou.
mat|21|32|	ēlthe gar pros umas iōannēs en odō dikaiosunēs, kai ouk episteusate autō oi de telōnai kai ai pornai episteusan autō umeis de idontes ou metemelēthēte usteron tou pisteusai autō.
mat|21|33|	allēn parabolēn akousate. anthrōpos tis ēn oikodespotēs, ostis ephuteusen ampelōna kai phragmon autō periethēke kai ōruxen en autō lēnon kai ōkodomēse purgon, kai exedoto auton geōrgois kai apedēmēsen.
mat|21|34|	ote de ēggisen o kairos tōn karpōn, apesteile tous doulous autou pros tous geōrgous labein tous karpous autou.
mat|21|35|	kai labontes oi geōrgoi tous doulous autou on men edeiran, on de apekteinan, on de elithobolēsan.
mat|21|36|	palin apesteilen allous doulous pleionas tōn prōtōn, kai epoiēsan autois ōsautōs.
mat|21|37|	usteron de apesteile pros autous ton uion autou legōn entrapēsontai ton uion mou.
mat|21|38|	oi de geōrgoi idontes ton uion eipon en eautois outos estin o klēronomos deute apokteinōmen auton kai kataschōmen tēn klēronomian autou.
mat|21|39|	kai labontes auton exebalon exō tou ampelōnos kai apekteinan.
mat|21|40|	otan oun elthē o kurios tou ampelōnos, ti poiēsei tois geōrgois ekeinois?
mat|21|41|	legousin autō kakous kakōs apolesei autous, kai ton ampelōna ekdōsetai allois geōrgois, oitines apodōsousin autō tous karpous en tois kairois autōn.
mat|21|42|	legei autois o iēsous oudepote anegnōte en tais graphais, lithon on apedokimasan oi oikodomountes, outos egenēthē eis kephalēn gōnias para kuriou egeneto autē, kai esti thaumastē en ophthalmois ēmōn?
mat|21|43|	dia touto legō umin oti arthēsetai aph umōn ē basileia tou theou kai dothēsetai ethnei poiounti tous karpous autēs
mat|21|44|	kai o pesōn epi ton lithon touton sunthlasthēsetai eph on d an pesē, likmēsei auton.
mat|21|45|	kai akousantes oi archiereis kai oi pharisaioi tas parabolas autou egnōsan oti peri autōn legei
mat|21|46|	kai zētountes auton kratēsai ephobēthēsan tous ochlous, epeidē ōs prophētēn auton eichon.
mat|22|1|	kai apokritheis o iēsous palin eipen autois en parabolais legōn
mat|22|2|	ōmoiōthē ē basileia tōn ouranōn anthrōpō basilei, ostis epoiēse gamous tō uiō autou.
mat|22|3|	kai apesteile tous doulous autou kalesai tous keklēmenous eis tous gamous, kai ouk ēthelon elthein.
mat|22|4|	palin apesteilen allous doulous legōn eipate tois keklēmenois idou to ariston mou ētoimasa, oi tauroi mou kai ta sitista tethumena, kai panta etoima deute eis tous gamous.
mat|22|5|	oi de amelēsantes apēlthon, o men eis ton idion agron, o de eis tēn emporian autou
mat|22|6|	oi de loipoi kratēsantes tous doulous autou ubrisan kai apekteinan.
mat|22|7|	akousas de o basileus ekeinos ōrgisthē, kai pempsas ta strateumata autou apōlese tous phoneis ekeinous kai tēn polin autōn eneprēse.
mat|22|8|	tote legei tois doulois autou o men gamos etoimos estin, oi de keklēmenoi ouk ēsan axioi
mat|22|9|	poreuesthe oun epi tas diexodous tōn odōn, kai osous ean eurēte kalesate eis tous gamous.
mat|22|10|	kai exelthontes oi douloi ekeinoi eis tas odous sunēgagon pantas osous euron, ponērous te kai agathous kai eplēsthē o gamos anakeimenōn.
mat|22|11|	eiselthōn de o basileus theasasthai tous anakeimenous eiden ekei anthrōpon ouk endedumenon enduma gamou,
mat|22|12|	kai legei autō etaire, pōs eisēlthes ōde mē echōn enduma gamou? o de ephimōthē.
mat|22|13|	tote eipen o basileus tois diakonois dēsantes autou podas kai cheiras arate auton kai ekbalete eis to skotos to exōteron ekei estai o klauthmos kai o brugmos tōn odontōn.
mat|22|14|	polloi gar eisi klētoi, oligoi de eklektoi.
mat|22|15|	tote poreuthentes oi pharisaioi sumboulion elabon opōs auton pagideusōsin en logō.
mat|22|16|	kai apostellousin autō tous mathētas autōn meta tōn ērōdianōn legontes didaskale, oidamen oti alēthēs ei kai tēn odon tou theou en alētheia didaskeis, kai ou melei soi peri oudenos ou gar blepeis eis prosōpon anthrōpōn
mat|22|17|	eipe oun ēmin, ti soi dokei? exesti dounai kēnson kaisari ē ou?
mat|22|18|	gnous de o iēsous tēn ponērian autōn eipe ti me peirazete, upokritai?
mat|22|19|	epideixate moi to nomisma tou kēnsou. oi de prosēnegkan autō dēnarion.
mat|22|20|	kai legei autois tinos ē eikōn autē kai ē epigraphē?
mat|22|21|	legousin autō kaisaros. tote legei autois apodote oun ta kaisaros kaisari kai ta tou theou tō theō.
mat|22|22|	kai akousantes ethaumasan, kai aphentes auton apēlthon.
mat|22|23|	en ekeinē tē ēmera prosēlthon autō saddoukaioi, oi legontes mē einai anastasin, kai epērōtēsan auton
mat|22|24|	legontes didaskale, mōsēs eipen, ean tis apothanē mē echōn tekna, epigambreusei o adelphos autou tēn gunaika autou kai anastēsei sperma tō adelphō autou.
mat|22|25|	ēsan de par ēmin epta adelphoi kai o prōtos gamēsas eteleutēse, kai mē echōn sperma aphēke tēn gunaika autou tō adelphō autou
mat|22|26|	omoiōs kai o deuteros kai o tritos, eōs tōn epta.
mat|22|27|	usteron de pantōn apethane kai ē gunē.
mat|22|28|	en tē oun anastasei tinos tōn epta estai ē gunē? pantes gar eschon autēn.
